date,num_compte,nom_compte,type,montant_debit,montant_credit
2016-04-09,COMPTE_6185,Maintenance équipements,dépense,22405.03,0.0
2016-04-11,COMPTE_6165,Electricité et eau,dépense,31161.49,0.0
2016-04-13,COMPTE_6200,Salaires,dépense,358191.0,0.0
2016-04-13,COMPTE_6011,Achats matières premières,dépense,92778.67,0.0
2016-04-14,COMPTE_6190,Formation du personnel,dépense,15037.46,0.0
2016-04-16,COMPTE_6171,Transport et livraisons,dépense,16448.18,0.0
2016-04-19,COMPTE_6161,Assurances,dépense,14049.26,0.0
2016-04-21,COMPTE_6174,Téléphone et internet,dépense,8233.86,0.0
2016-04-21,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,7063.16
2016-04-24,COMPTE_6178,Fournitures de bureau,dépense,5529.71,0.0
2016-04-28,COMPTE_7120,Subventions reçues,produit,0.0,26918.37
2016-05-01,COMPTE_6174,Téléphone et internet,dépense,9608.39,0.0
2016-05-03,COMPTE_6141,Loyers,dépense,44828.14,0.0
2016-05-04,COMPTE_6190,Formation du personnel,dépense,14883.88,0.0
2016-05-04,COMPTE_6176,Honoraires consultants,dépense,37630.84,0.0
2016-05-04,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,7373.34
2016-05-06,COMPTE_6200,Salaires,dépense,306179.53,0.0
2016-05-09,COMPTE_7111,Chiffre d affaires,produit,0.0,851258.25
2016-05-17,COMPTE_6165,Electricité et eau,dépense,32810.77,0.0
2016-05-18,COMPTE_6171,Transport et livraisons,dépense,16990.79,0.0
2016-05-18,COMPTE_6178,Fournitures de bureau,dépense,6668.74,0.0
2016-05-20,COMPTE_6161,Assurances,dépense,12309.23,0.0
2016-05-22,COMPTE_6011,Achats matières premières,dépense,77856.13,0.0
2016-05-24,COMPTE_6210,Charges sociales CNSS,dépense,89519.71,0.0
2016-05-25,COMPTE_7120,Subventions reçues,produit,0.0,29109.94
2016-05-25,COMPTE_6185,Maintenance équipements,dépense,24128.91,0.0
2016-06-01,COMPTE_6174,Téléphone et internet,dépense,9289.89,0.0
2016-06-03,COMPTE_6210,Charges sociales CNSS,dépense,97905.54,0.0
2016-06-05,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,7836.14
2016-06-05,COMPTE_6161,Assurances,dépense,12521.38,0.0
2016-06-06,COMPTE_6165,Electricité et eau,dépense,26132.65,0.0
2016-06-08,COMPTE_6190,Formation du personnel,dépense,14829.8,0.0
2016-06-10,COMPTE_6011,Achats matières premières,dépense,91614.78,0.0
2016-06-12,COMPTE_6178,Fournitures de bureau,dépense,5147.04,0.0
2016-06-16,COMPTE_6176,Honoraires consultants,dépense,34957.75,0.0
2016-06-17,COMPTE_6141,Loyers,dépense,48124.16,0.0
2016-06-19,COMPTE_6200,Salaires,dépense,269233.99,0.0
2016-06-25,COMPTE_6171,Transport et livraisons,dépense,17666.27,0.0
2016-06-25,COMPTE_7120,Subventions reçues,produit,0.0,21116.02
2016-06-27,COMPTE_7111,Chiffre d affaires,produit,0.0,778113.83
2016-06-27,COMPTE_6185,Maintenance équipements,dépense,23764.58,0.0
2016-07-06,COMPTE_6141,Loyers,dépense,43377.59,0.0
2016-07-07,COMPTE_6165,Electricité et eau,dépense,24561.08,0.0
2016-07-07,COMPTE_6174,Téléphone et internet,dépense,7723.38,0.0
2016-07-08,COMPTE_7111,Chiffre d affaires,produit,0.0,585884.44
2016-07-08,COMPTE_6190,Formation du personnel,dépense,11726.81,0.0
2016-07-08,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,7067.45
2016-07-11,COMPTE_6200,Salaires,dépense,249535.3,0.0
2016-07-13,COMPTE_6176,Honoraires consultants,dépense,31650.57,0.0
2016-07-16,COMPTE_6011,Achats matières premières,dépense,64195.38,0.0
2016-07-17,COMPTE_6185,Maintenance équipements,dépense,17989.89,0.0
2016-07-18,COMPTE_6210,Charges sociales CNSS,dépense,64779.87,0.0
2016-07-21,COMPTE_6178,Fournitures de bureau,dépense,6052.83,0.0
2016-07-23,COMPTE_7120,Subventions reçues,produit,0.0,18108.34
2016-07-25,COMPTE_6171,Transport et livraisons,dépense,17268.71,0.0
2016-07-28,COMPTE_6161,Assurances,dépense,9876.12,0.0
2016-08-02,COMPTE_6011,Achats matières premières,dépense,59174.97,0.0
2016-08-03,COMPTE_6141,Loyers,dépense,39884.06,0.0
2016-08-04,COMPTE_7120,Subventions reçues,produit,0.0,22904.99
2016-08-04,COMPTE_6185,Maintenance équipements,dépense,17109.28,0.0
2016-08-07,COMPTE_6165,Electricité et eau,dépense,23535.53,0.0
2016-08-08,COMPTE_6176,Honoraires consultants,dépense,28640.18,0.0
2016-08-09,COMPTE_6161,Assurances,dépense,10042.47,0.0
2016-08-14,COMPTE_6200,Salaires,dépense,244810.05,0.0
2016-08-14,COMPTE_6190,Formation du personnel,dépense,9845.69,0.0
2016-08-19,COMPTE_6174,Téléphone et internet,dépense,7688.45,0.0
2016-08-21,COMPTE_7111,Chiffre d affaires,produit,0.0,519750.81
2016-08-24,COMPTE_6210,Charges sociales CNSS,dépense,70495.65,0.0
2016-08-24,COMPTE_6171,Transport et livraisons,dépense,14569.49,0.0
2016-08-24,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,5556.38
2016-08-26,COMPTE_6178,Fournitures de bureau,dépense,5383.51,0.0
2016-09-01,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,7554.89
2016-09-02,COMPTE_7120,Subventions reçues,produit,0.0,29121.62
2016-09-03,COMPTE_6174,Téléphone et internet,dépense,9927.69,0.0
2016-09-03,COMPTE_6190,Formation du personnel,dépense,16181.88,0.0
2016-09-04,COMPTE_6178,Fournitures de bureau,dépense,7205.2,0.0
2016-09-06,COMPTE_6165,Electricité et eau,dépense,26226.41,0.0
2016-09-07,COMPTE_6141,Loyers,dépense,41711.39,0.0
2016-09-07,COMPTE_7111,Chiffre d affaires,produit,0.0,784107.72
2016-09-08,COMPTE_6171,Transport et livraisons,dépense,17644.35,0.0
2016-09-14,COMPTE_6210,Charges sociales CNSS,dépense,86059.4,0.0
2016-09-15,COMPTE_6161,Assurances,dépense,11905.2,0.0
2016-09-18,COMPTE_6185,Maintenance équipements,dépense,19985.58,0.0
2016-09-28,COMPTE_6200,Salaires,dépense,378977.79,0.0
2016-09-28,COMPTE_6176,Honoraires consultants,dépense,36123.02,0.0
2016-09-28,COMPTE_6011,Achats matières premières,dépense,84947.33,0.0
2016-10-02,COMPTE_7111,Chiffre d affaires,produit,0.0,832703.72
2016-10-02,COMPTE_6178,Fournitures de bureau,dépense,6242.42,0.0
2016-10-03,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,9727.54
2016-10-03,COMPTE_7120,Subventions reçues,produit,0.0,31301.43
2016-10-09,COMPTE_6011,Achats matières premières,dépense,107112.91,0.0
2016-10-10,COMPTE_6176,Honoraires consultants,dépense,34512.9,0.0
2016-10-11,COMPTE_6190,Formation du personnel,dépense,13371.62,0.0
2016-10-14,COMPTE_6161,Assurances,dépense,13564.41,0.0
2016-10-16,COMPTE_6174,Téléphone et internet,dépense,9804.05,0.0
2016-10-18,COMPTE_6185,Maintenance équipements,dépense,24774.85,0.0
2016-10-18,COMPTE_6171,Transport et livraisons,dépense,22742.81,0.0
2016-10-19,COMPTE_6200,Salaires,dépense,305236.65,0.0
2016-10-24,COMPTE_6165,Electricité et eau,dépense,32616.51,0.0
2016-10-26,COMPTE_6141,Loyers,dépense,55833.79,0.0
2016-10-28,COMPTE_6210,Charges sociales CNSS,dépense,97218.28,0.0
2016-11-03,COMPTE_7111,Chiffre d affaires,produit,0.0,948112.62
2016-11-03,COMPTE_6171,Transport et livraisons,dépense,17376.36,0.0
2016-11-04,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,10299.85
2016-11-07,COMPTE_6178,Fournitures de bureau,dépense,7849.58,0.0
2016-11-11,COMPTE_6210,Charges sociales CNSS,dépense,93699.11,0.0
2016-11-11,COMPTE_6185,Maintenance équipements,dépense,25894.61,0.0
2016-11-11,COMPTE_6176,Honoraires consultants,dépense,39967.07,0.0
2016-11-13,COMPTE_6190,Formation du personnel,dépense,14450.78,0.0
2016-11-13,COMPTE_6141,Loyers,dépense,55870.71,0.0
2016-11-19,COMPTE_6161,Assurances,dépense,12403.52,0.0
2016-11-19,COMPTE_6174,Téléphone et internet,dépense,9289.31,0.0
2016-11-20,COMPTE_6165,Electricité et eau,dépense,28972.39,0.0
2016-11-20,COMPTE_7120,Subventions reçues,produit,0.0,23878.25
2016-11-21,COMPTE_6200,Salaires,dépense,318712.03,0.0
2016-11-22,COMPTE_6011,Achats matières premières,dépense,97914.2,0.0
2016-12-01,COMPTE_6178,Fournitures de bureau,dépense,7783.68,0.0
2016-12-03,COMPTE_6161,Assurances,dépense,16949.67,0.0
2016-12-04,COMPTE_6210,Charges sociales CNSS,dépense,99253.49,0.0
2016-12-05,COMPTE_6200,Salaires,dépense,338333.17,0.0
2016-12-05,COMPTE_6141,Loyers,dépense,54095.33,0.0
2016-12-05,COMPTE_7111,Chiffre d affaires,produit,0.0,965452.5
2016-12-07,COMPTE_6011,Achats matières premières,dépense,88941.78,0.0
2016-12-11,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8766.61
2016-12-12,COMPTE_6165,Electricité et eau,dépense,37423.04,0.0
2016-12-15,COMPTE_6171,Transport et livraisons,dépense,20206.72,0.0
2016-12-18,COMPTE_6185,Maintenance équipements,dépense,27729.48,0.0
2016-12-20,COMPTE_7120,Subventions reçues,produit,0.0,27951.13
2016-12-22,COMPTE_6190,Formation du personnel,dépense,15788.87,0.0
2016-12-23,COMPTE_6174,Téléphone et internet,dépense,11221.26,0.0
2016-12-26,COMPTE_6176,Honoraires consultants,dépense,39511.72,0.0
2017-01-03,COMPTE_6200,Salaires,dépense,326422.24,0.0
2017-01-05,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,9804.84
2017-01-06,COMPTE_6178,Fournitures de bureau,dépense,8482.54,0.0
2017-01-09,COMPTE_6171,Transport et livraisons,dépense,21034.42,0.0
2017-01-11,COMPTE_6174,Téléphone et internet,dépense,8775.56,0.0
2017-01-12,COMPTE_7120,Subventions reçues,produit,0.0,25738.17
2017-01-17,COMPTE_6141,Loyers,dépense,59518.13,0.0
2017-01-18,COMPTE_6185,Maintenance équipements,dépense,28216.18,0.0
2017-01-18,COMPTE_6190,Formation du personnel,dépense,17777.11,0.0
2017-01-18,COMPTE_7111,Chiffre d affaires,produit,0.0,1005697.18
2017-01-21,COMPTE_6176,Honoraires consultants,dépense,45264.72,0.0
2017-01-21,COMPTE_6011,Achats matières premières,dépense,92620.31,0.0
2017-01-21,COMPTE_6165,Electricité et eau,dépense,28975.15,0.0
2017-01-23,COMPTE_6210,Charges sociales CNSS,dépense,120655.9,0.0
2017-01-28,COMPTE_6161,Assurances,dépense,14898.57,0.0
2017-02-02,COMPTE_6011,Achats matières premières,dépense,82211.05,0.0
2017-02-02,COMPTE_6161,Assurances,dépense,14099.49,0.0
2017-02-07,COMPTE_6165,Electricité et eau,dépense,30974.76,0.0
2017-02-08,COMPTE_6185,Maintenance équipements,dépense,23362.79,0.0
2017-02-14,COMPTE_6200,Salaires,dépense,345636.08,0.0
2017-02-20,COMPTE_6178,Fournitures de bureau,dépense,5953.55,0.0
2017-02-22,COMPTE_6171,Transport et livraisons,dépense,18755.36,0.0
2017-02-24,COMPTE_6210,Charges sociales CNSS,dépense,75396.05,0.0
2017-02-24,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8306.88
2017-02-25,COMPTE_6174,Téléphone et internet,dépense,7397.28,0.0
2017-02-26,COMPTE_6190,Formation du personnel,dépense,15344.97,0.0
2017-02-26,COMPTE_7111,Chiffre d affaires,produit,0.0,835363.53
2017-02-26,COMPTE_7120,Subventions reçues,produit,0.0,27892.35
2017-02-26,COMPTE_6141,Loyers,dépense,41902.55,0.0
2017-02-28,COMPTE_6176,Honoraires consultants,dépense,35201.23,0.0
2017-03-01,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8293.48
2017-03-07,COMPTE_6185,Maintenance équipements,dépense,20590.95,0.0
2017-03-08,COMPTE_6178,Fournitures de bureau,dépense,7524.6,0.0
2017-03-09,COMPTE_6190,Formation du personnel,dépense,14822.32,0.0
2017-03-09,COMPTE_6011,Achats matières premières,dépense,101473.13,0.0
2017-03-12,COMPTE_6174,Téléphone et internet,dépense,10447.22,0.0
2017-03-16,COMPTE_6165,Electricité et eau,dépense,26344.81,0.0
2017-03-18,COMPTE_7120,Subventions reçues,produit,0.0,31240.62
2017-03-21,COMPTE_6210,Charges sociales CNSS,dépense,90748.08,0.0
2017-03-22,COMPTE_7111,Chiffre d affaires,produit,0.0,821310.97
2017-03-23,COMPTE_6141,Loyers,dépense,44115.89,0.0
2017-03-25,COMPTE_6200,Salaires,dépense,387635.85,0.0
2017-03-26,COMPTE_6176,Honoraires consultants,dépense,35986.32,0.0
2017-03-27,COMPTE_6171,Transport et livraisons,dépense,18019.25,0.0
2017-03-28,COMPTE_6161,Assurances,dépense,12045.15,0.0
2017-04-01,COMPTE_6185,Maintenance équipements,dépense,24313.1,0.0
2017-04-02,COMPTE_6178,Fournitures de bureau,dépense,5848.49,0.0
2017-04-09,COMPTE_6141,Loyers,dépense,42287.09,0.0
2017-04-09,COMPTE_6011,Achats matières premières,dépense,78198.86,0.0
2017-04-12,COMPTE_7111,Chiffre d affaires,produit,0.0,819927.07
2017-04-14,COMPTE_6171,Transport et livraisons,dépense,20328.58,0.0
2017-04-17,COMPTE_6174,Téléphone et internet,dépense,9121.67,0.0
2017-04-19,COMPTE_6176,Honoraires consultants,dépense,32202.85,0.0
2017-04-20,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,9370.24
2017-04-20,COMPTE_6161,Assurances,dépense,11199.2,0.0
2017-04-22,COMPTE_7120,Subventions reçues,produit,0.0,25464.12
2017-04-24,COMPTE_6165,Electricité et eau,dépense,28548.35,0.0
2017-04-24,COMPTE_6200,Salaires,dépense,336639.05,0.0
2017-04-24,COMPTE_6210,Charges sociales CNSS,dépense,104785.23,0.0
2017-04-26,COMPTE_6190,Formation du personnel,dépense,14647.01,0.0
2017-05-06,COMPTE_6178,Fournitures de bureau,dépense,6926.82,0.0
2017-05-07,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8339.14
2017-05-10,COMPTE_6141,Loyers,dépense,42360.33,0.0
2017-05-10,COMPTE_6185,Maintenance équipements,dépense,24146.35,0.0
2017-05-10,COMPTE_6200,Salaires,dépense,288578.94,0.0
2017-05-13,COMPTE_6165,Electricité et eau,dépense,28886.11,0.0
2017-05-13,COMPTE_6176,Honoraires consultants,dépense,38965.05,0.0
2017-05-14,COMPTE_6174,Téléphone et internet,dépense,8008.6,0.0
2017-05-15,COMPTE_7120,Subventions reçues,produit,0.0,25105.81
2017-05-18,COMPTE_6171,Transport et livraisons,dépense,20224.07,0.0
2017-05-21,COMPTE_7111,Chiffre d affaires,produit,0.0,814690.77
2017-05-22,COMPTE_6161,Assurances,dépense,13288.33,0.0
2017-05-26,COMPTE_6210,Charges sociales CNSS,dépense,86202.6,0.0
2017-05-27,COMPTE_6190,Formation du personnel,dépense,14432.73,0.0
2017-05-28,COMPTE_6011,Achats matières premières,dépense,85134.34,0.0
2017-06-03,COMPTE_6210,Charges sociales CNSS,dépense,99203.37,0.0
2017-06-05,COMPTE_6185,Maintenance équipements,dépense,24234.72,0.0
2017-06-08,COMPTE_6176,Honoraires consultants,dépense,40095.76,0.0
2017-06-08,COMPTE_6178,Fournitures de bureau,dépense,6578.79,0.0
2017-06-08,COMPTE_6190,Formation du personnel,dépense,12108.21,0.0
2017-06-16,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8545.8
2017-06-17,COMPTE_6165,Electricité et eau,dépense,24727.99,0.0
2017-06-20,COMPTE_6171,Transport et livraisons,dépense,19051.0,0.0
2017-06-20,COMPTE_6200,Salaires,dépense,369682.69,0.0
2017-06-21,COMPTE_7111,Chiffre d affaires,produit,0.0,746480.36
2017-06-22,COMPTE_6161,Assurances,dépense,13502.64,0.0
2017-06-23,COMPTE_7120,Subventions reçues,produit,0.0,25792.53
2017-06-26,COMPTE_6141,Loyers,dépense,50859.6,0.0
2017-06-26,COMPTE_6011,Achats matières premières,dépense,86035.44,0.0
2017-06-27,COMPTE_6174,Téléphone et internet,dépense,8150.83,0.0
2017-07-01,COMPTE_6141,Loyers,dépense,41642.4,0.0
2017-07-02,COMPTE_6176,Honoraires consultants,dépense,31106.68,0.0
2017-07-04,COMPTE_6165,Electricité et eau,dépense,26757.25,0.0
2017-07-05,COMPTE_6011,Achats matières premières,dépense,72877.97,0.0
2017-07-05,COMPTE_6185,Maintenance équipements,dépense,17238.85,0.0
2017-07-08,COMPTE_6171,Transport et livraisons,dépense,17241.07,0.0
2017-07-17,COMPTE_7120,Subventions reçues,produit,0.0,24188.49
2017-07-18,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,6916.57
2017-07-18,COMPTE_6200,Salaires,dépense,285521.98,0.0
2017-07-20,COMPTE_7111,Chiffre d affaires,produit,0.0,740854.62
2017-07-22,COMPTE_6190,Formation du personnel,dépense,13495.1,0.0
2017-07-23,COMPTE_6174,Téléphone et internet,dépense,6783.38,0.0
2017-07-25,COMPTE_6210,Charges sociales CNSS,dépense,80928.94,0.0
2017-07-28,COMPTE_6161,Assurances,dépense,12351.67,0.0
2017-07-28,COMPTE_6178,Fournitures de bureau,dépense,5575.19,0.0
2017-08-05,COMPTE_6200,Salaires,dépense,232739.9,0.0
2017-08-06,COMPTE_6011,Achats matières premières,dépense,69572.5,0.0
2017-08-07,COMPTE_7111,Chiffre d affaires,produit,0.0,559005.15
2017-08-10,COMPTE_6178,Fournitures de bureau,dépense,4504.55,0.0
2017-08-11,COMPTE_6185,Maintenance équipements,dépense,16846.05,0.0
2017-08-14,COMPTE_7120,Subventions reçues,produit,0.0,18080.79
2017-08-15,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,6318.3
2017-08-15,COMPTE_6176,Honoraires consultants,dépense,26842.05,0.0
2017-08-16,COMPTE_6141,Loyers,dépense,40176.74,0.0
2017-08-18,COMPTE_6190,Formation du personnel,dépense,11017.99,0.0
2017-08-21,COMPTE_6165,Electricité et eau,dépense,21529.51,0.0
2017-08-21,COMPTE_6174,Téléphone et internet,dépense,7117.19,0.0
2017-08-23,COMPTE_6210,Charges sociales CNSS,dépense,68078.14,0.0
2017-08-25,COMPTE_6161,Assurances,dépense,10244.22,0.0
2017-08-25,COMPTE_6171,Transport et livraisons,dépense,13975.5,0.0
2017-09-01,COMPTE_6165,Electricité et eau,dépense,34667.64,0.0
2017-09-01,COMPTE_7120,Subventions reçues,produit,0.0,26774.5
2017-09-07,COMPTE_6011,Achats matières premières,dépense,90474.65,0.0
2017-09-08,COMPTE_6210,Charges sociales CNSS,dépense,100198.47,0.0
2017-09-09,COMPTE_7111,Chiffre d affaires,produit,0.0,816107.98
2017-09-12,COMPTE_6176,Honoraires consultants,dépense,32554.6,0.0
2017-09-13,COMPTE_6178,Fournitures de bureau,dépense,6361.36,0.0
2017-09-13,COMPTE_6141,Loyers,dépense,54047.48,0.0
2017-09-16,COMPTE_6174,Téléphone et internet,dépense,9492.77,0.0
2017-09-19,COMPTE_6161,Assurances,dépense,15307.81,0.0
2017-09-22,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8444.72
2017-09-24,COMPTE_6190,Formation du personnel,dépense,14916.6,0.0
2017-09-25,COMPTE_6171,Transport et livraisons,dépense,21759.58,0.0
2017-09-26,COMPTE_6200,Salaires,dépense,374037.16,0.0
2017-09-27,COMPTE_6185,Maintenance équipements,dépense,26571.37,0.0
2017-10-01,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8004.08
2017-10-02,COMPTE_6185,Maintenance équipements,dépense,24878.81,0.0
2017-10-05,COMPTE_6161,Assurances,dépense,14160.1,0.0
2017-10-11,COMPTE_6200,Salaires,dépense,334413.38,0.0
2017-10-11,COMPTE_6190,Formation du personnel,dépense,14863.6,0.0
2017-10-13,COMPTE_6210,Charges sociales CNSS,dépense,96852.49,0.0
2017-10-13,COMPTE_6171,Transport et livraisons,dépense,17669.79,0.0
2017-10-13,COMPTE_6011,Achats matières premières,dépense,102465.93,0.0
2017-10-18,COMPTE_6165,Electricité et eau,dépense,36651.55,0.0
2017-10-21,COMPTE_6176,Honoraires consultants,dépense,34359.55,0.0
2017-10-22,COMPTE_6174,Téléphone et internet,dépense,9992.07,0.0
2017-10-27,COMPTE_6141,Loyers,dépense,54942.26,0.0
2017-10-27,COMPTE_7111,Chiffre d affaires,produit,0.0,800923.25
2017-10-27,COMPTE_7120,Subventions reçues,produit,0.0,27927.03
2017-10-28,COMPTE_6178,Fournitures de bureau,dépense,6940.9,0.0
2017-11-01,COMPTE_6171,Transport et livraisons,dépense,18074.66,0.0
2017-11-02,COMPTE_6011,Achats matières premières,dépense,106404.62,0.0
2017-11-03,COMPTE_6161,Assurances,dépense,13355.4,0.0
2017-11-04,COMPTE_6185,Maintenance équipements,dépense,25422.35,0.0
2017-11-05,COMPTE_6178,Fournitures de bureau,dépense,6468.64,0.0
2017-11-06,COMPTE_6210,Charges sociales CNSS,dépense,111967.77,0.0
2017-11-07,COMPTE_6190,Formation du personnel,dépense,16620.15,0.0
2017-11-07,COMPTE_6174,Téléphone et internet,dépense,11236.25,0.0
2017-11-09,COMPTE_6200,Salaires,dépense,368826.07,0.0
2017-11-10,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,10211.01
2017-11-12,COMPTE_6141,Loyers,dépense,60276.95,0.0
2017-11-20,COMPTE_6176,Honoraires consultants,dépense,44916.9,0.0
2017-11-21,COMPTE_6165,Electricité et eau,dépense,35366.07,0.0
2017-11-24,COMPTE_7111,Chiffre d affaires,produit,0.0,901352.36
2017-11-25,COMPTE_7120,Subventions reçues,produit,0.0,31027.57
2017-12-01,COMPTE_6011,Achats matières premières,dépense,93608.13,0.0
2017-12-01,COMPTE_7120,Subventions reçues,produit,0.0,32581.0
2017-12-12,COMPTE_6200,Salaires,dépense,433221.98,0.0
2017-12-13,COMPTE_6161,Assurances,dépense,16429.99,0.0
2017-12-17,COMPTE_7111,Chiffre d affaires,produit,0.0,899656.3
2017-12-19,COMPTE_6190,Formation du personnel,dépense,15485.72,0.0
2017-12-19,COMPTE_6171,Transport et livraisons,dépense,20430.98,0.0
2017-12-19,COMPTE_6141,Loyers,dépense,63385.89,0.0
2017-12-21,COMPTE_6174,Téléphone et internet,dépense,11214.61,0.0
2017-12-22,COMPTE_6210,Charges sociales CNSS,dépense,112163.12,0.0
2017-12-23,COMPTE_6176,Honoraires consultants,dépense,40310.3,0.0
2017-12-23,COMPTE_6165,Electricité et eau,dépense,33860.61,0.0
2017-12-26,COMPTE_6185,Maintenance équipements,dépense,28973.7,0.0
2017-12-27,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,11031.05
2017-12-28,COMPTE_6178,Fournitures de bureau,dépense,8370.1,0.0
2018-01-08,COMPTE_7111,Chiffre d affaires,produit,0.0,1038146.83
2018-01-09,COMPTE_6210,Charges sociales CNSS,dépense,124950.67,0.0
2018-01-09,COMPTE_6174,Téléphone et internet,dépense,12031.2,0.0
2018-01-11,COMPTE_6190,Formation du personnel,dépense,17870.38,0.0
2018-01-13,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,10264.88
2018-01-14,COMPTE_6011,Achats matières premières,dépense,105259.68,0.0
2018-01-14,COMPTE_6165,Electricité et eau,dépense,36938.81,0.0
2018-01-15,COMPTE_6161,Assurances,dépense,17348.76,0.0
2018-01-15,COMPTE_6178,Fournitures de bureau,dépense,8334.85,0.0
2018-01-17,COMPTE_6171,Transport et livraisons,dépense,20183.92,0.0
2018-01-18,COMPTE_6176,Honoraires consultants,dépense,44981.61,0.0
2018-01-19,COMPTE_7120,Subventions reçues,produit,0.0,33383.19
2018-01-21,COMPTE_6141,Loyers,dépense,63616.03,0.0
2018-01-24,COMPTE_6185,Maintenance équipements,dépense,26795.89,0.0
